WeekHourIndex,DayOfWeek,HourOfDay,Cluster_0,Cluster_1,Cluster_2,Cluster_3
132,5,12,0.10536432054900743,0.071173221916972,0.04921140324519231,0.12365533424908426
133,5,13,0.09039796353908193,0.0684856913919414,0.045887770432692286,0.1121264880952381
134,5,14,0.0788041364919355,0.06257321047008546,0.04181769831730768,0.11096915064102564
135,5,15,0.07148195637406951,0.05871612484737485,0.04199235276442307,0.10109895833333332
136,5,16,0.0715501122983871,0.058442570970696016,0.049109555288461545,0.09389268543956046
137,5,17,0.07935180488523573,0.06274202152014655,0.062124233774038494,0.07335347985347984
138,5,18,0.09510035058933003,0.07289634081196582,0.08504995492788459,0.05438661858974358
139,5,19,0.09882574440136473,0.08341151556776559,0.10409816706730772,0.04535084706959707
140,5,20,0.07878922797766746,0.0785715086996337,0.10022596153846153,0.03698614926739927
141,5,21,0.06432955634305214,0.06825638736263732,0.09426240985576922,0.03479326923076923
142,5,22,0.055293450806451615,0.060008630952380924,0.08445366586538462,0.03135136217948718
143,5,23,0.046036101256203464,0.052996600274725296,0.07427481971153849,0.030939560439560438
144,6,0,0.03647040583717358,0.04444588057445199,0.0636875892857143,0.03035453514739229
145,6,1,0.031357853302611365,0.03878198790627362,0.05775563988095236,0.030712528344671208
146,6,2,0.028369753271889418,0.03412101662887377,0.05366910714285714,0.030056972789115646
147,6,3,0.026808968494623654,0.03106983371126227,0.052289241071428585,0.028696768707482993
148,6,4,0.02667247728110598,0.0292354043839758,0.05187965773809524,0.02848248299319728
149,6,5,0.027367742811059914,0.028490332577475425,0.05479839285714285,0.028950283446712015
150,6,6,0.02870368955453149,0.02900239984882841,0.05573782738095236,0.03007278911564626
151,6,7,0.03447259850998462,0.03230462585034014,0.05393309523809522,0.02939047619047619
152,6,8,0.050188084884792636,0.038993733938019644,0.0529604017857143,0.034464512471655336
153,6,9,0.06980965325652845,0.04839377928949359,0.04999205357142856,0.042762018140589574
154,6,10,0.08607865095238096,0.057754973544973574,0.0497683630952381,0.04328599773242631
155,6,11,0.10269580686635943,0.07043610355253209,0.04862102678571426,0.04361094104308392
156,6,12,0.11398262258064522,0.08536086923658359,0.05489852678571429,0.050918197278911566
157,6,13,0.0907651657296467,0.08065445956160242,0.049073645833333325,0.059413718820861675
158,6,14,0.07715676499231947,0.07003178760393049,0.0440202976190476,0.05754620181405896
159,6,15,0.07028831556067588,0.06396417989417989,0.04417880952380953,0.05453214285714286
160,6,16,0.06797660649769584,0.06307410052910052,0.05056592261904761,0.05175362811791382
161,6,17,0.0764950886482335,0.06676932350718068,0.06553398809523811,0.04846201814058956
162,6,18,0.09286639917050692,0.07881819727891158,0.09316717261904763,0.04643259637188209
163,6,19,0.09552405350230418,0.0897904875283447,0.1093395833333333,0.04039722222222223
164,6,20,0.07861763841781876,0.08504044595616023,0.10491062499999997,0.03521950113378684
165,6,21,0.06782254522273427,0.07465263794406653,0.10002375000000001,0.03224512471655329
166,6,22,0.055707973794162806,0.0631983635676493,0.09007630952380949,0.030734863945578228
167,6,23,0.04283194523809524,0.05163702191987905,0.07271830357142856,0.030793083900226757
